source_string,target_string,license,latin,arabic
OCR,ⵜⵓⴽⵣⴰ ⵏ ⵉⵙⴽⴽⵉⵍⵏ ⵙ ⵓⵥⵏⵥⵕ (OCR),Apache-2.0,tukza n iskkiln s uẓnẓṛ (OCR),توكزا ن يسككيلن س وزّنزّر (OCR)
OCR based on Tesseract 5,OCR ⵉⴱⴷⴷ ⵅⴼ Tesseract 5,Apache-2.0,OCR ibdd khf Tesseract 5,OCR يبدد خف Tesseract 5
Simple Calculator,ⵜⴰⵙⵎⵙⵙⵉⴹⵏⵜ ⵜⴰⴼⵔⴰⵔⵜ,GPL-3.0-or-later,tasmssiḍnt tafrart,تاسمسسيضنت تافرارت
Calculator,ⵜⴰⵙⵎⵙⵙⵉⴹⵏⵜ,GPL-3.0-or-later,tasmssiḍnt,تاسمسسيضنت
Scientific Calculator,ⵜⴰⵙⵎⵙⵙⵉⴹⵏⵜ ⵜⴰⵎⴰⵙⵙⴰⵏⵜ,GPL-3.0-or-later,tasmssiḍnt tamassant,تاسمسسيضنت تاماسسانت
Error: division by zero,ⵜⴰⵣⴳⵍⵜ: ⴰⴱⵟⵟⵓ ⵅⴼ ⵓⵎⵢⴰ,GPL-3.0-or-later,tazglt: abṭṭu khf umya,تازڭلت: ابططو خف وميا
History,ⴰⵎⵣⵔⵓⵢ,GPL-3.0-or-later,amzruy,امزروي
History is empty,ⴰⵎⵣⵔⵓⵢ ⵢⵓⵔⴰ,GPL-3.0-or-later,amzruy yura,امزروي يورا
Clear,ⴽⴽⵙ,GPL-3.0-or-later,kks,ككس
History has been cleared,ⵉⵜⵜⵡⴰⴽⴽⵙ ⵓⵎⵣⵔⵓⵢ,GPL-3.0-or-later,ittwakks umzruy,يتتواككس ومزروي
Vibrate on button press,ⴰⵔⵎⵉⵎⵎⵉ ⴳ ⵡⴰⴱⴱⴰⵥ ⵅⴼ ⵜⴳⵎⵎⵓⵜⵉⵏ,GPL-3.0-or-later,armimmi g wabbaẓ khf tgmmutin,ارميممي ڭ واببازّ خف تڭمموتين
Use comma as a decimal mark,ⵙⵎⵔⵙ ⵜⵉⵙⴽⵔⵜ ⴷ ⵜⴰⵎⴰⵜⴰⵔⵜ ⵜⴰⵎⵔⴰⵡⴰⵏⵜ,GPL-3.0-or-later,smrs tiskrt d tamatart tamrawant,سمرس تيسكرت د تاماتارت تامراوانت
How does the C (Clear) button work?,ⵎⴰⵎⴽ ⵜⵙⵡⵓⵔⵓⵢ ⵜⴳⵎⵎⵓⵜ C (ⴽⴽⵙ)?,GPL-3.0-or-later,mamk tswuruy tgmmut C (kks)?,مامك تسووروي تڭمموت C (ككس)?
Tapping on it will remove one character at a time. Long pressing it will reset all fields at once.,ⴰⴱⴱⴰⵥ ⵅⴼ ⵓⵢⵏⵏⴰ ⴰⴷ ⵉⴽⴽⵙ ⵢⴰⵏ ⵓⵙⴽⴽⵉⵍ ⴳ ⵢⴰⵏ ⵓⵣⵎⵣ. ⵎⵛ ⵉⵍⵍⴰ ⵡⴰⴱⴱⴰⵥ ⴰⵙⵓⵍⴰⵏ ⵔⴰⴷ ⵜⵜⵓⵙⵏⴼⵍⵏ ⵎⴰⵕⵕⴰ ⵉⴳⵔⴰⵏ ⴳ ⵢⴰⵏ ⵓⵣⵎⵣ.,GPL-3.0-or-later,abbaẓ khf uynna ad ikks yan uskkil g yan uzmz. msh illa wabbaẓ asulan rad ttusnfln maṛṛa igran g yan uzmz.,اببازّ خف ويننا اد يككس يان وسككيل ڭ يان وزمز. مش يللا واببازّ اسولان راد تتوسنفلن ماررا يڭران ڭ يان وزمز.
New Event,ⵜⴰⵎⵙⴰⵔⵜ ⵜⴰⵎⴰⵢⵏⵓⵜ,GPL-3.0-or-later,tamsart tamaynut,تامسارت تاماينوت
Edit Event,ⵙⴳⴳⴷ ⵜⴰⵎⵙⴰⵔⵜ,GPL-3.0-or-later,sggd tamsart,سڭڭد تامسارت
Title,ⴰⵣⵡⵍ,GPL-3.0-or-later,azwl,ازول
Untitled event,ⵜⴰⵎⵙⴰⵔⵜ ⵜⴰⵔ ⵉⵙⵎ,GPL-3.0-or-later,tamsart tar ism,تامسارت تار يسم
'%1 Events on %2','%1 ⵏ ⵜⵎⵙⴰⵔⵉⵏ ⴳ %2',GPL-3.0-or-later,'%1 n tmsarin g %2','%1 ن تمسارين ڭ %2'
Agenda,ⵜⴰⵎⵙⵙⴽⵜⵉⵜ,GPL-3.0-or-later,tamssktit,تامسسكتيت
Month,ⴰⵢⵢⵓⵔ,GPL-3.0-or-later,ayyur,اييور
