Tamazight,francais,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⴰ ⵉⵎⵎⴰ !,ô (ma) mère !,يا أمّي !,a imma !,ا يمما !,O my mother!
ⵉⵖⵔⴰ ⴰⴷⵍⵉⵙ ⴰ,il a lu ce livre,قرأ هذا الكتاب,ighra adlis a,يغرا ادليس ا,He read this book.
ⵚⵎⵎⵉⴹⵏ ⵡⵓⵙⵙⴰⵏ ⴰⴷ,il fait froid ces jours-ci,الطقس بارد هذه الأيام,ṣmmiḍn wussan ad,صمميضن ووسسان اد,The weather is cold these days.
ⵜⴰⴳⵔⵙⵜ ⴰ,cet hiver,هذا الشتاء,tagrst a,تاڭرست ا,This winter
ⵎⵛⵛ ⴱⴰⴽⵜⵉⵔⵉ,bactériophage,عاثِيَةٌ,mshsh baktiri,مشش باكتيري,"""Chaotic"" or ""devastated,"" depending on the context. Could you provide more context or a full sentence?"
ⴰⴼⴷⵓⴷⴷⵔ ⵏ ⵓⴱⴰⵏⴽⵔⵢⴰⵙ,pancréatite,التهاب البنكرياس,afduddr n ubankryas,افدوددر ن وبانكرياس,Pancreatitis
ⴰⴱⴷⴰ ⵏ ⵉⴱⵉⴷⴰⵏ,toujours,دائما وأبدا,abda n ibidan,ابدا ن يبيدان,Always and forever.
ⴰⴱⴷⴰⴷ (-ⵅⴼ ),supervision,إشراف,abdad (-khf ),ابداد (-خف ),Supervision
ⴰⴱⴷⴰⴷ ⵖⵔ ⵓⵏⴱⴹⵓ,comparution,مثول أمام القضاء,abdad ghr unbḍu,ابداد غر ونبضو,Appearance before the judiciary.
ⴰⴱⴷⴷⵉ (-ⵅⴼ),supervision,إشراف,abddi (-khf),ابددي (-خف),Supervision
ⴰⴱⴽⴽⴰⵙ ⵏ ⵜⵏⴼⵔⵓⵜ,ceinture de sécurité,حزام السلامة,abkkas n tnfrut,ابككاس ن تنفروت,Seat belt
ⵎⵛⵛ ⴱⵅⵅⵓⵢ,insectivore,مقتات بالحشرات,mshsh bkhkhuy,مشش بخخوي,Insectivorous.
ⴰⴱⵍⴰⵣⵎⴰ ⵏ ⵓⵎⴹⵓⵕⵓ,plasma de convalescence,بلازما النقاهة,ablazma n umḍuṛu,ابلازما ن ومضورو,Convalescent plasma
ⴰⴱⵏⵏⵊ ⴰⴷⵖⵔⴰⵏ,anesthésie locale,تخدير موضعي,abnnj adghran,ابننج ادغران,Local anesthesia
ⴰⴱⵏⵏⵊ ⴰⵎⴰⵜⴰⵢ,anesthésie générale,تخدير عام,abnnj amatay,ابننج اماتاي,General anesthesia
ⴰⴱⵓⴽⴹ ⵏ ⵢⵉⴹ,héméralopie (cécité nocturne),العمى الليلي، العشا الليلي,abukḍ n yiḍ,ابوكض ن ييض,Night blindness.
ⵇⵇⵏ ⵉⴱⵓⵔⴽⵙⵏ,se chausser,لَبِس حذاء,qqn iburksn,ققن يبوركسن,He wore shoes.
ⵉⴱⵓⵔⴽⵙⵏ ⵏ ⵜⵓⵏⵏⵓⵏⵜ,baskets,حذاء رياضي,iburksn n tunnunt,يبوركسن ن توننونت,Sports shoe or sneaker.
ⴰⴱⵔⵉⴷ ⴰⴳⴷⵓⴷⴰⵏ,voie publique,ممر عام,abrid agdudan,ابريد اڭدودان,Public corridor
ⴳⵔ ⵉⴱⵔⴷⴰⵏ,"croisement, carrefour",ملتقى الطرق,gr ibrdan,ڭر يبردان,Crossroads
ⴰⴱⵖⵍⵉ ⵉⴷⵓⵙⵏ,béton armé,الخرسانة المسلحة,abghli idusn,ابغلي يدوسن,Reinforced concrete
ⴰⴱⵛⵛⴻⵛ ⵢⵓⵍⵙⵏ,miction fréquente,تبول متكرر,abshshesh yulsn,ابشش°ش يولسن,Frequent urination
ⴰⴱⵥⴰⴹ ⵢⵓⵍⵙⵏ,miction fréquente,تبول متكرر,abẓaḍ yulsn,ابزّاض يولسن,Frequent urination
ⵜⴰⵙⵓⵜⵍⵜ ⵏ ⵡⴰⴳⴰⴷ,cycle ovarien,دورة مبيضية,tasutlt n wagad,تاسوتلت ن واڭاد,Ovarian cycle
