source_string	target_string
ⴰⴷ ⵉⵙⵡ ⵙ ⵡⵓⵕⴰⵡⵏ ⵏⵏⵙ	سيشرب بكفيه (ملء الكفين).
ⴰⴷ ⵉⵢⵉ ⵢⴽⴽⵙ  ⵕⴱⴱⵉ  ⵢⴰⵣⵍⵍⵉⴼ	فليزل لي ربي الرأس.
ⴰⴷ ⵉⵣⵔⵢ ⴷⴳ ⵓⵏⴼⵉⴼ	سيمر في القمع.
ⴰⵍⵍⵉ ⵏⵏⵙ ⴷⵉ ⵜⵅⵏⴰ ⵏⵏⵙ	دماغه في مؤخرته.
ⴰⵎ ⵉⵎⵛ ⵉⵇⵇⵏ ⵜⵉⵟⵟ, ⵉⵕⵥⵎ ⵉⵜⵜ	كمن أغلق عينه وفتحها.
ⴰⵎ ⵡⵏⵏ ⵓⵎⵉ ⵇⵇⵙⵏⵜ ⵜⵣⵉⵣⵡⴰ	كمن لسعه النحل.
ⴰⵎ ⵡⵓⴷⵉ ⴷ ⵜⴰⵎⴻⵎⵜ	كالسمن والعسل.
ⴰⵡⵢ ⵉⵜ ⴷⴳ ⵢⵉⵅⴼ ⵏⵏⵛ	اهتم بنفسك.
ⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ ⴷ ⴰⵥⵕⵓ	رأسه حجر.
ⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ ⴷ ⵜⴰⵅⵙⴰⵛⵜ	رأسه يقطينة.
ⴱⴷⴷⵏⵜ ⴰⵙ ⵜⴽⵓⴼⴼⴰⵙ	وقف اللعاب.
ⴱⵓⵃⴱⵍ ⵉⵜⵜⴰⵍⵢ ⵉⵟⵟⴰⵕ	الروح تصعد وتهبط.
ⴷⴰⴳ-ⵙ ⵜⴼⵙⴻⵙ ⵏ ⵓⴼⵓⵙ	فيه خفة اليد.
ⴷⴰⴳ-ⵙ ⵜⴼⵙⴻⵙ ⵏ ⵓⵟⴰⵕ	فيه خفة الرجل.
ⴷ ⴰⵎⵏⵏⵓⵇⵇⴱ ⵓⴼⵓⵙ	مثقوب اليد.
ⴷⴱⴱⵕ ⵉ ⵡⵣⵍⵍⵉⴼ ⵏⵏⵛ	تدبر لرأسك.
ⴷⴷⴰⵜ ⵉⵏⵓ ⵜⵓⵙⵓⵙ	نحف جسمي.
ⴷⴳ ⵓⴼⵓⵙ ⵉⵏⵓ	في يدي.
