English_Sentence,Tamazight_Tifinagh,license,Tamazight_Latin,Tamazight_Arabic
Code Scanner,ⴰⵎⵣⵣⵔⴰⵢ ⵏ ⵉⵏⵉⴳⵍ,CC-BY-SA-4.0,amzzray n inigl,امززراي ن ينيڭل
Scan and create codes,ⴰⵣⵣⵔⴰⵢ ⴷ ⵓⵙⴽⴰⵔ ⵏ ⵉⵏⴰⴳⵍⵉⵡⵏ,CC-BY-SA-4.0,azzray d uskar n inagliwn,اززراي د وسكار ن يناڭليون
Open Source,ⵉⵕⵥⵎ ⵓⵙⴰⴳⵎ,CC-BY-SA-4.0,iṛẓm usagm,يرزّم وساڭم
Contribute on GitHub. AGPLv3+.,ⴰⵡⵙ ⴳ GitHub. AGPLv3+.,CC-BY-SA-4.0,aws g GitHub. AGPLv3+.,اوس ڭ GitHub. AGPLv3+.
Scan code,ⵣⵣⵔⵉ ⵉⵏⵉⴳⵍ,CC-BY-SA-4.0,zzri inigl,ززري ينيڭل
Create code from data,ⵙⴽⵔ ⵉⵏⵉⴳⵍ ⵙⴳ ⵜⵎⵓⵛⴰ,CC-BY-SA-4.0,skr inigl sg tmusha,سكر ينيڭل سڭ تموشا
Scan,ⵣⵣⵔⵉ,CC-BY-SA-4.0,zzri,ززري
History,ⴰⵎⵣⵔⵓⵢ,CC-BY-SA-4.0,amzruy,امزروي
Create,ⵙⴽⵔ,CC-BY-SA-4.0,skr,سكر
Unknown,ⵡⴰⵔ ⵉⵙⵎ,CC-BY-SA-4.0,war ism,وار يسم
Add Contact,ⵔⵏⵓ ⴰⵎⴰⵡⴰⴹ,CC-BY-SA-4.0,rnu amawaḍ,رنو اماواض
Copy,ⵙⵙⵏⵖⵍ,CC-BY-SA-4.0,ssnghl,سسنغل
Send e-mail,ⴰⵣⵏ ⵉⵎⴰⵢⵍ,CC-BY-SA-4.0,azn imayl,ازن يمايل
Open URL,ⵕⵥⵎ URL,CC-BY-SA-4.0,ṛẓm URL,رزّم URL
Home,ⴰⵙⵏⵓⴱⴳ,CC-BY-SA-4.0,asnubg,اسنوبڭ
Mobile,ⵜⵜⵉⵍⵉⴼⵓⵏ,CC-BY-SA-4.0,ttilifun,تتيليفون
Fax,ⴼⴰⴽⵙ,CC-BY-SA-4.0,faks,فاكس
Work,ⵜⴰⵡⵓⵔⵉ,CC-BY-SA-4.0,tawuri,تاووري
Invalid data.,ⵓⵔ ⵎⵙⴰⵙⴰⵏⵜ ⵜⵎⵓⵛⴰ.,CC-BY-SA-4.0,ur msasant tmusha.,ور مساسانت تموشا.
Error!,ⵜⴰⵣⴳⵍⵜ!,CC-BY-SA-4.0,tazglt!,تازڭلت!
Job Title,ⴰⵣⵡⵍ ⵏ ⵜⵡⵓⵔⵉ,CC-BY-SA-4.0,azwl n twuri,ازول ن تووري
Name,ⵉⵙⵎ,CC-BY-SA-4.0,ism,يسم
Phones,ⵉⴷ ⵜⵜⵉⵍⵉⴼⵓⵏ,CC-BY-SA-4.0,id ttilifun,يد تتيليفون
Organization,ⵜⴰⵎⴰⴷⴷⴰⵙⵜ,CC-BY-SA-4.0,tamaddast,تامادداست
Emails,ⵉⵎⴰⵢⵍⵏ,CC-BY-SA-4.0,imayln,يمايلن
Addresses,ⴰⵏⵙⵉⵡⵏ,CC-BY-SA-4.0,ansiwn,انسيون
